,meta_begin,meta_end,meta_id,Y,utterance,file,video,T,A,V,TA,VA,TV,TAF,TAV
0,207.77,223.95,4054,4.0,"That's right.  That's right.  I mean he would want us to, you know, celebrate the life that he- that he lived and, you know, enjoy the rest of ours as much as we can.",Ses04F_impro06_M013,videos_indirect/indirect_00_Ses04F_impro06_right.mp4,0.5761891960814349,-0.05593636368347753,-0.26356616897646634,0.5773581394180141,0.36679084204543905,0.3546988552842093,0.6974242228112778,0.7464315192450515
1,32.14,40.47,4024,4.0,"I'll have to, uh, I'll have to get myself a new tux.  My, uh, the old one is a little worn and dirty.  That's awesome.  Where are you guys going to have it?",Ses04F_impro03_M006,videos_indirect/indirect_01_Ses04F_impro03_right.mp4,-0.10661667131715419,1.164381765090083,0.7484735993470817,1.1279157848474066,1.413599374397965,1.3803584469251309,1.5918302638562858,1.5262569090182425
2,304.86,307.1,4067,4.0,Yeah.,Ses04F_impro07_F060,videos_indirect/indirect_02_Ses04F_impro07_left.mp4,-0.4044572209355524,-1.2123163675339246,0.202727206584062,-0.654562926372344,-0.6947885625395436,-0.31096913315356056,-0.22231676628891067,0.2764173164349792
3,79.49,87.66,4074,2.5,"I asked for no tomatoes on six tacos.  I got tomatoes and onions on all of them,",Ses04F_impro08_M009,videos_indirect/indirect_03_Ses04F_impro08_right.mp4,1.6287137816837403,1.4367174411199042,1.3321681556948382,1.5031341330297492,1.3561145046743643,1.4209793422980244,1.4953234653846488,1.523875151927716
4,197.83,204.38,5074,4.0,"six four nine four. That would be so great, thank you so much.",Ses05F_impro08_M028,videos_indirect/indirect_04_Ses05F_impro08_right.mp4,-0.7180590356860264,0.7434410891997553,0.33628283318563246,0.493633788042753,0.5047991592608628,0.593670398433127,0.8502816371992992,0.7936682890415128
5,158.0369,167.266,2017,1.5,"I mean, it's just as hard for me, but--I know that we can do it, you know",Ses02F_impro02_F011,videos_indirect/indirect_05_Ses02F_impro02_left.mp4,-0.07143764678720255,-0.8204415012350919,-0.7867629036448749,-0.7856687177064808,-0.5625586158547061,-0.14192475688006861,-0.0863103708407375,-0.4797607647224002
6,130.3,148.27,4073,2.5,"Ma'am, I - I - I understand that. I understand that. What I can do for you right now is what I'm telling you is that I can do- I can give you a hundred dollars back and then you'll have to fill out a complaint form and then you'll get -- there'll be some investigation. Some men will show up at your house and go through your things.",Ses04M_impro08_M015,videos_indirect/indirect_06_Ses04M_impro08_left.mp4,-0.17991759529770313,-1.101633234381197,-0.47968620212397595,-0.8293321135571221,-0.2349279053115753,-0.39274681839095427,-0.6769517895277719,-0.6517009781293798
7,39.77,43.78,4007,2.0,I did exactly what they told me to do.,Ses04F_impro01_F004,videos_indirect/indirect_07_Ses04F_impro01_left.mp4,0.783303218996416,0.15952822309089731,0.7561762306487253,0.511982573416871,0.5938499004818151,1.0841074283553613,0.9680174147793303,0.8236648581297373
8,195.4319,204.7806,2004,3.0,"So, if you wanna go get your birth certificate, um, maybe come back--I don't--maybe you can talk to the person in the--in the front of line maybe.  I don't know.",Ses02F_impro01_M023,videos_indirect/indirect_08_Ses02F_impro01_right.mp4,0.13375630511000725,-0.4038439474290916,0.33086390709353464,0.18486539812287725,0.16162019453382942,0.5502671958821699,0.3768639205489261,0.1614479641285022
9,179.04,183.999,2064,4.0,"I know, that's a ways down the road. That's cool.",Ses02F_impro07_M030,videos_indirect/indirect_09_Ses02F_impro07_right.mp4,0.29093590100808203,0.7015621557739649,0.6996795476934243,0.5343234946137378,0.9984206825165669,0.6771368890887818,1.4208805278375025,1.0734639249577076
10,30.92,34.87,5043,3.0,"Yeah, I know I was in the country.  I mean, it's not that complicated.",Ses05M_impro05_M005,videos_indirect/indirect_10_Ses05M_impro05_left.mp4,-0.08808333798566953,-1.3333391238022554,-0.7889687682934605,-0.5190511278605179,-0.6888149672078226,-0.3084005244873206,-0.7208281570330397,-0.33022909071707257
11,86.04,92.71,4013,2.5,It's not- it's not- It's not like that.  It's not like that.  I can't do that.,Ses04M_impro02_M010,videos_indirect/indirect_11_Ses04M_impro02_left.mp4,0.08666356132856037,-0.5020141902301367,0.34051733959396924,-0.2778036979790238,0.49558923641254815,0.30357353728100206,0.2675382295599747,0.6658184631780283
12,86.92,91.46,1023,3.0,Yeah.  Make her like open the bank account and stuff too.,Ses01M_impro03_M014,videos_indirect/indirect_12_Ses01M_impro03_left.mp4,0.6090027508097573,0.40325190646335907,-0.058518876086956884,0.5239610900983509,0.3998391142119038,0.02302387618805902,0.6286116934163715,0.42448059512022634
