,meta_begin,meta_end,meta_id,utterance,file,video,T,A,V,TA,VA,TV,TAF,TAV
0,207.77,223.95,4054,"That's right.  That's right.  I mean he would want us to, you know, celebrate the life that he- that he lived and, you know, enjoy the rest of ours as much as we can.",Ses04F_impro06_M013,videos_indirect/indirect_00_Ses04F_impro06_right.mp4,-0.2898990508966711,-0.0750243823525968,0.1037204257430198,-0.5821316199331372,-0.4311034435576867,-0.472544915203174,-0.5197899202445717,-0.4055865744681189
1,32.14,40.47,4024,"I'll have to, uh, I'll have to get myself a new tux.  My, uh, the old one is a little worn and dirty.  That's awesome.  Where are you guys going to have it?",Ses04F_impro03_M006,videos_indirect/indirect_01_Ses04F_impro03_right.mp4,0.1395737646572693,0.5753298690271412,0.9012109461192768,0.7716778542401158,0.6910181506536466,1.0981619045478492,0.8590236782161982,0.7339928631326446
2,304.86,307.1,4067,Yeah.,Ses04F_impro07_F060,videos_indirect/indirect_02_Ses04F_impro07_left.mp4,0.0658091050521435,-0.1122147942704243,1.0421074106993533,0.3900088840118501,1.377731038877578,1.2734671867510483,1.3475836778127688,1.1954524876250396
3,79.49,87.66,4074,"I asked for no tomatoes on six tacos.  I got tomatoes and onions on all of them,",Ses04F_impro08_M009,videos_indirect/indirect_03_Ses04F_impro08_right.mp4,-1.0169968813102748,0.4162462175585069,-0.1100910131248138,-0.6406013034026234,-0.6149075319544903,-0.7530222865142002,-0.4372598020986101,-0.7182401144117044
4,197.83,204.38,5074,"six four nine four. That would be so great, thank you so much.",Ses05F_impro08_M028,videos_indirect/indirect_04_Ses05F_impro08_right.mp4,0.5431345183001945,0.8322568590779713,-0.2562916937340216,1.2526595951939374,0.8720590254847806,-0.1925577593747051,0.9954624807756282,0.8519013393217727
5,158.0369,167.266,2017,"I mean, it's just as hard for me, but--I know that we can do it, you know",Ses02F_impro02_F011,videos_indirect/indirect_05_Ses02F_impro02_left.mp4,0.1549939399106987,-0.1047047883429214,-0.4829116578314147,-0.994718320148263,-0.8966151996678597,-0.9868152326734304,-1.045299930567144,-1.4419578802986632
6,130.3,148.27,4073,"Ma'am, I - I - I understand that. I understand that. What I can do for you right now is what I'm telling you is that I can do- I can give you a hundred dollars back and then you'll have to fill out a complaint form and then you'll get -- there'll be some investigation. Some men will show up at your house and go through your things.",Ses04M_impro08_M015,videos_indirect/indirect_06_Ses04M_impro08_left.mp4,-0.7790136535927616,-0.427628136101678,-0.1546977118892825,-0.0397332363076949,-0.3213031143301306,-0.3865234043309805,-0.4136566748835285,-0.2453789915717408
7,39.77,43.78,4007,I did exactly what they told me to do.,Ses04F_impro01_F004,videos_indirect/indirect_07_Ses04F_impro01_left.mp4,-0.0446699189474952,-0.9581179059052256,0.4974898430091833,-0.4483818661455673,-0.5420608701817557,-0.6709704385321225,-1.0264310321586003,-1.018292574725403
8,195.4319,204.7806,2004,"So, if you wanna go get your birth certificate, um, maybe come back--I don't--maybe you can talk to the person in the--in the front of line maybe.  I don't know.",Ses02F_impro01_M023,videos_indirect/indirect_08_Ses02F_impro01_right.mp4,-0.1535130953294097,0.0681083523431571,0.4792554650518973,-0.1104376565519425,0.1566425324409009,0.2026847028823267,-0.0607946858254124,0.0458594958314297
9,179.04,183.999,2064,"I know, that's a ways down the road. That's cool.",Ses02F_impro07_M030,videos_indirect/indirect_09_Ses02F_impro07_right.mp4,0.6132518901265335,-0.0447325158129722,0.8655883541340429,0.6979061507928521,0.9562620152756371,0.9129807164032656,1.0734085281850767,1.077556320990701
10,30.92,34.87,5043,"Yeah, I know I was in the country.  I mean, it's not that complicated.",Ses05M_impro05_M005,videos_indirect/indirect_10_Ses05M_impro05_left.mp4,-0.4603914447909967,0.4327633636138364,-0.1177062731041467,0.560325508403896,-0.1698332075425214,-0.4146176643793287,-0.0110571568697867,-0.2555820139549554
