,meta_begin,meta_end,meta_id,utterance,file,video,T,A,V,TA,VA,TV,TAF,TAV
0,207.77,223.95,4054,"That's right.  That's right.  I mean he would want us to, you know, celebrate the life that he- that he lived and, you know, enjoy the rest of ours as much as we can.",Ses04F_impro06_M013,videos_indirect/indirect_00_Ses04F_impro06_right.mp4,-0.1427920791930955,-1.0913297090916392,-1.0065913955245844,-0.6363868591333646,-0.9417626912942372,-0.7277118577406025,-0.7077675882318077,0.0574259277007854
1,32.14,40.47,4024,"I'll have to, uh, I'll have to get myself a new tux.  My, uh, the old one is a little worn and dirty.  That's awesome.  Where are you guys going to have it?",Ses04F_impro03_M006,videos_indirect/indirect_01_Ses04F_impro03_right.mp4,0.0841701733638513,-0.23217571521183,-0.1360701396985681,-0.286995168610712,-0.3621296506750373,-0.0170842557404849,-0.0798328168118557,0.0500419328215723
2,304.86,307.1,4067,Yeah.,Ses04F_impro07_F060,videos_indirect/indirect_02_Ses04F_impro07_left.mp4,-0.8660780078744093,0.4612116520043254,0.6155401066192512,0.2003690710994874,0.6663062791435043,0.5020045822388968,0.8385195955127533,1.0490210891002567
3,79.49,87.66,4074,"I asked for no tomatoes on six tacos.  I got tomatoes and onions on all of them,",Ses04F_impro08_M009,videos_indirect/indirect_03_Ses04F_impro08_right.mp4,0.6142125716896205,-0.075224955187343,-0.570241068562294,0.3690648660755231,0.1409774959607214,-0.3146458125743543,0.1829839955032774,0.2971358006028193
4,197.83,204.38,5074,"six four nine four. That would be so great, thank you so much.",Ses05F_impro08_M028,videos_indirect/indirect_04_Ses05F_impro08_right.mp4,-0.2736715940346369,-0.4390906106000011,-0.9070652151909554,-0.2902520332720881,-0.1904195580973609,-0.5056245392339703,-0.0314057457044191,0.2060124963751364
5,158.0369,167.266,2017,"I mean, it's just as hard for me, but--I know that we can do it, you know",Ses02F_impro02_F011,videos_indirect/indirect_05_Ses02F_impro02_left.mp4,-0.0069944646259149,-0.2977013269109625,-0.4758154182454586,0.5793658855051886,0.3492113769290645,-0.3794893946700969,0.4907514923900774,0.4848553911514559
6,130.3,148.27,4073,"Ma'am, I - I - I understand that. I understand that. What I can do for you right now is what I'm telling you is that I can do- I can give you a hundred dollars back and then you'll have to fill out a complaint form and then you'll get -- there'll be some investigation. Some men will show up at your house and go through your things.",Ses04M_impro08_M015,videos_indirect/indirect_06_Ses04M_impro08_left.mp4,0.9953687147696,-0.0997542445453997,-0.6503925868078618,-0.0661900878390164,0.0077166973911995,-0.0762503645924216,0.1976096576973669,0.0137159822557133
7,39.77,43.78,4007,I did exactly what they told me to do.,Ses04F_impro01_F004,videos_indirect/indirect_07_Ses04F_impro01_left.mp4,0.2010358747877404,0.7188987029942461,0.14999775041435,0.7865523342006572,0.5950048402605745,0.8465089906680648,1.1277671942678906,0.8590074853530314
8,195.4319,204.7806,2004,"So, if you wanna go get your birth certificate, um, maybe come back--I don't--maybe you can talk to the person in the--in the front of line maybe.  I don't know.",Ses02F_impro01_M023,videos_indirect/indirect_08_Ses02F_impro01_right.mp4,-0.5034848504787495,-0.3267818387730784,0.209665696578302,-0.5317842233939561,0.0356125144333297,-0.0344056176168104,0.0985692591079261,-0.1254959582590913
9,179.04,183.999,2064,"I know, that's a ways down the road. That's cool.",Ses02F_impro07_M030,videos_indirect/indirect_09_Ses02F_impro07_right.mp4,-0.406279422486813,-0.7330269979517272,-0.4453178626289173,-0.7721166604940805,-0.3318636500955594,-0.1333826484419535,-0.7700351838102837,-0.2299488596880353
